,Script_position,German,English
1,NA,Ihre Daten werden anonymisiert und vorverarbeitet. Dies kann bis zu 2 Minuten in Anspruch nehmen. Bitte schließen Sie dieses Browserfenster nicht.,Your data will be anonymized and pre-processed. This process may take up to 2 minutes. Please do not close this browser window.
2,NA,Ihre persönliche Datenauswertung wird vorbereitet. Dies kann einige Minuten in Anspruch nehmen. Bitte schließen Sie dieses Browserfenster nicht.,Your personal data analysis is being prepared. This process may take several minutes. Please do not close this browser window.
3,NA,Überblick,Overview
4,NA,<h1 align='center'> Analysieren Sie ihre eigenen WhatsApp chat logs! </h1>,<h1 align='center'> Analyze Your Own WhatsApp Chat Logs! </h1>
5,NA,"Liebe/r Teilnehmer/in, in diesem Teil der Studie haben Sie die Möglichkeit, Ihre eigenen WhatsApp-Chatlogs sicher zu analysieren
                                                  und uns im Gegenzug einige anonymisierte Kommunikationsdaten über Ihren Chat zu liefern. In den folgenden Schritten
                                                  werden wir Sie durch den Prozess des Exports und des sicheren Hochladens eines WhatsApp Chatlogs auf diese Website führen.
                                                  Sie werden die Möglichkeit haben, Ihre Nachrichten interaktiv zu untersuchen, um zu sehen, welche Art von Informationen
                                                  aus einem Chatlog extrahiert werden können.","Dear participant, in this part of the study, you have the opportunity to securely analyze your own WhatsApp chatlogs and provide us with some anonymized communication data from your chat in return. In the following steps, we will guide you through the process of exporting and securely uploading a WhatsApp chatlog to this website. You will have the opportunity to interactively examine your messages to see what type of information can be extracted from a chatlog.



"
6,NA,"Diese Informationen sind nur für Sie sichtbar und werden gelöscht, sobald Sie
                                                  diese Website schließen. Sie können selbst entscheiden, ob und welche Teile der anonymisierten Informationen
                                                  Sie für unser Forschungsprojekt zur Verfügung stellen möchten. Wichtig ist, dass es nicht möglich ist, personenbezogene Informationen wie
                                                  z.B. Namen, den Inhalt von Nachrichten, Telefonnummern oder Inhalte gesendeter Mediendateien zu spenden. Es ist nur möglich, anonymisierte Kommunikationsdaten zu spenden
                                                  wie z. B., wann eine Nachricht gesendet wurde, wie viele Wörter sie enthielt oder die enthaltenen Emoji, Smilies oder Domänen gesendeter Links.","These information are only visible to you and will be deleted once you close this website. You can decide for yourself if and which parts of the anonymized information you want to provide for our research project. It is important to note that it is not possible to donate personal information such as names, content of messages, phone numbers, or contents of sent media files. It is only possible to donate anonymized communication data, such as when a message was sent, how many words it contained, or the emojis, smileys, or domains of sent links.



"
7,NA,"Sollten Sie sich entscheiden
                                                  anonymisierte Kommunikationsdaten über Ihren Chat zu spenden, erhalten Sie Zugang zu einer interaktiven Analyseseite für Ihre eigenen Daten und können
                                                  sehen, wer die meisten Wörter sendet, wer welche Emojis und Smilies verwendet,
                                                  oder wer im Durchschnitt wie lange braucht, um auf Nachrichten zu antworten. Auch diese Informationen sind nur für Sie sichtbar und wir speichern nur die anonymisierten Kommunikationsdaten
                                                  die Sie ausdrücklich geprüft und über eine spezielle Schaltfläche freigegeben haben.","If you decide to donate anonymized communication data from your chat, you will gain access to an interactive analysis page for your own data and can see who sends the most words, who uses which emojis and smileys, or how long on average it takes to respond to messages. Again, these information are only visible to you, and we only store the anonymized communication data that you have explicitly reviewed and released through a specific button."
8,NA,<h1 align='center'> Wie werden meine Daten gesichert? </h1>,<h1 align='center'> How are my data secured? </h1>
9,NA,"Der gesamte Datenverkehr auf dieser Website ist durch das <a href='https://en.wikipedia.org/wiki/Transport_Layer_Security' target='_blank'>TLS-Protokoll</a> gesichert und es werden keine Informationen dauerhaft gespeichert, es sei denn, sie werden von Ihnen ausdrücklich gespendet. Sie sehen Ihre Nachrichten, nachdem sie auf die Website hochgeladen wurden, aber nur Sie können diese für die Dauer Ihres Besuchs auf dieser Website einsehen. Nach dem Schließen des Browsers werden alle Informationen, die Sie nicht ausdrücklich gespendet haben, gelöscht. Wichtig ist, dass Sie nur anonymisierte Kommunikationsdaten spenden können. Das heißt, selbst wenn Sie es wollten, ist es nicht möglich, personenbezogene Daten wie z. B. Nachrichteninhalte, Namen, Telefonnummern, gesendete Dateien, Bilder oder Videos zu spenden. Alle Daten werden gemäß der Europäischen Datenschutzgrundverordnung (DSGVO) auf einem gesicherten Server der Universität Ulm, Deutschland, gesammelt und verarbeitet. Alle gespendeten Daten werden mit dem <a href='https://en.wikipedia.org/wiki/RSA_(cryptosystem)' target='_blank'>RSA</a>-Verschlüsselungsverfahren verschlüsselt. Diese Studie wurde von der Ethikkommission der Universität Ulm geprüft und genehmigt.","All traffic on this website is secured using the <a href=""https://en.wikipedia.org/wiki/Transport_Layer_Security"" target=""_blank"">TLS protocol</a>, and no information is stored permanently unless explicitly donated by you. You can view your messages after they are uploaded to the website, but only you can see them during your visit to this website. After closing the browser, all information that you have not explicitly donated will be deleted. It is important to note that you can only donate anonymized communication data. This means that even if you wanted to, it is not possible to donate personal data such as message contents, names, phone numbers, sent files, images, or videos. All data is collected and processed according to the European General Data Protection Regulation (GDPR) on a secure server at the University of Ulm, Germany. All donated data is encrypted using the <a href=""https://en.wikipedia.org/wiki/RSA_(cryptosystem)"" target=""_blank"">RSA</a> encryption method. This study has been reviewed and approved by the Ethics Committee of the University of Ulm.
"
10,NA,<h1 align='center'>Wie werden gespendete Daten genutzt?</h1>,<h1 align='center'>What are the donated communication data used for?</h1>
